,Unnamed: 0,Player,Age,MP,Min_Playing_Time,Mins_Per_90_Playing_Time,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per_Minutes,Ast_Per_Minutes,G+A_Per_Minutes,G_minus_PK_Per_Minutes,G+A_minus_PK_Per_Minutes
34,35,Allan,31,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,36,Rodrigo Caio,28,1,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,37,Rodrygo,21,3,55.0,0.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.64,0.0,1.64,1.64,1.64
37,38,Martinelli,20,2,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,39,Felipe,32,1,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,40,Pedro,24,1,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,41,Edenílson,32,2,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,42,Hulk,35,1,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,43,Arthur,23,0,,,,,,,,,,,,,,
43,44,Artur,23,0,,,,,,,,,,,,,,
44,45,Diego Carlos,28,0,,,,,,,,,,,,,,
45,46,Gabriel Chapecó,21,0,,,,,,,,,,,,,,
46,47,Gabriel Dos Santos,24,0,,,,,,,,,,,,,,
47,48,Éverson,31,0,,,,,,,,,,,,,,
48,49,Thiago Galhardo,32,0,,,,,,,,,,,,,,
49,50,Gabriel Menino,21,0,,,,,,,,,,,,,,
50,51,Miranda,37,0,,,,,,,,,,,,,,
51,52,Leo Ortiz,26,0,,,,,,,,,,,,,,
52,53,Santos,31,0,,,,,,,,,,,,,,
